2015-01-18 21:11:28,244 INFO  dajanka-U310-3 : The Grinder version 3.11
2015-01-18 21:11:28,252 INFO  dajanka-U310-3 : Java(TM) SE Runtime Environment 1.7.0_72-b14: Java HotSpot(TM) 64-Bit Server VM (24.72-b04, mixed mode) on Linux amd64 3.13.0-39-generic
2015-01-18 21:11:28,256 INFO  dajanka-U310-3 : time zone is CET (+0100)
2015-01-18 21:11:28,461 INFO  dajanka-U310-3 : worker process 3 of agent number 0
2015-01-18 21:11:28,580 INFO  dajanka-U310-3 : instrumentation agents: byte code transforming instrumenter for Jython 2.5; byte code transforming instrumenter for Java
2015-01-18 21:11:30,758 INFO  dajanka-U310-3 : registered plug-in net.grinder.plugin.http.HTTPPlugin
2015-01-18 21:11:32,052 INFO  dajanka-U310-3 : running "grinder.clj" using Clojure 1.4.0
2015-01-18 21:11:32,077 INFO  dajanka-U310-3 thread-0: starting, will do 30 runs
2015-01-18 21:11:32,077 INFO  dajanka-U310-3 : start time is 1421611892077 ms since Epoch
2015-01-18 21:11:47,313 INFO  dajanka-U310-3 thread-0 [ run-0, test-101 ]: http://green-recipes.com/ -> 200 OK, 7239 bytes
2015-01-18 21:11:47,326 INFO  dajanka-U310-3 thread-0 [ run-0 ]: sleeping for 153 ms
2015-01-18 21:11:47,618 INFO  dajanka-U310-3 thread-0 [ run-0, test-102 ]: http://green-recipes.com/style.css -> 200 OK, 26408 bytes
2015-01-18 21:11:47,827 INFO  dajanka-U310-3 thread-0 [ run-0, test-103 ]: http://green-recipes.com/out/goog/base.js -> 200 OK, 61790 bytes
2015-01-18 21:11:47,896 INFO  dajanka-U310-3 thread-0 [ run-0, test-104 ]: http://green-recipes.com/script/zelenerecepty_app.js -> 200 OK, 1404 bytes
2015-01-18 21:11:47,964 INFO  dajanka-U310-3 thread-0 [ run-0, test-105 ]: http://green-recipes.com/images/facebook-link.png -> 200 OK, 723 bytes
2015-01-18 21:11:47,987 INFO  dajanka-U310-3 : received a start message
2015-01-18 21:11:48,036 INFO  dajanka-U310-3 thread-0 [ run-0, test-106 ]: http://green-recipes.com/images/sk-logo-mini.png -> 200 OK, 7786 bytes
2015-01-18 21:11:48,037 INFO  dajanka-U310-3 thread-0 [ run-0 ]: sleeping for 45 ms
2015-01-18 21:11:48,205 INFO  dajanka-U310-3 thread-0 [ run-0, test-107 ]: http://green-recipes.com/images/thumbnails/guacamole.jpg -> 200 OK, 32946 bytes
2015-01-18 21:11:48,306 INFO  dajanka-U310-3 thread-0 [ run-0, test-108 ]: http://green-recipes.com/images/thumbnails/brokolicovy-salat.jpg -> 200 OK, 29428 bytes
2015-01-18 21:11:48,401 INFO  dajanka-U310-3 thread-0 [ run-0, test-109 ]: http://green-recipes.com/images/thumbnails/sunflower-bread.jpg -> 200 OK, 23985 bytes
2015-01-18 21:11:48,491 INFO  dajanka-U310-3 thread-0 [ run-0, test-110 ]: http://green-recipes.com/images/thumbnails/choco-mint.jpg -> 200 OK, 15732 bytes
