2015-01-18 21:19:22,809 INFO  dajanka-U310-1 : The Grinder version 3.11
2015-01-18 21:19:22,818 INFO  dajanka-U310-1 : Java(TM) SE Runtime Environment 1.7.0_72-b14: Java HotSpot(TM) 64-Bit Server VM (24.72-b04, mixed mode) on Linux amd64 3.13.0-39-generic
2015-01-18 21:19:22,824 INFO  dajanka-U310-1 : time zone is CET (+0100)
2015-01-18 21:19:22,983 INFO  dajanka-U310-1 : worker process 1 of agent number 0
2015-01-18 21:19:23,042 INFO  dajanka-U310-1 : instrumentation agents: byte code transforming instrumenter for Jython 2.5; byte code transforming instrumenter for Java
2015-01-18 21:19:25,046 INFO  dajanka-U310-1 : registered plug-in net.grinder.plugin.http.HTTPPlugin
2015-01-18 21:19:26,206 INFO  dajanka-U310-1 : running "grinder.clj" using Clojure 1.4.0
2015-01-18 21:19:26,224 INFO  dajanka-U310-1 thread-0: starting, will do 30 runs
2015-01-18 21:19:26,224 INFO  dajanka-U310-1 : start time is 1421612366224 ms since Epoch
2015-01-18 21:19:26,323 INFO  dajanka-U310-1 thread-0 [ run-0, test-101 ]: http://localhost:3000/ -> 200 OK, 7441 bytes
2015-01-18 21:19:26,340 INFO  dajanka-U310-1 thread-0 [ run-0 ]: sleeping for 180 ms
2015-01-18 21:19:26,527 INFO  dajanka-U310-1 thread-0 [ run-0, test-102 ]: http://localhost:3000/style.css -> 200 OK, 26427 bytes
2015-01-18 21:19:26,532 INFO  dajanka-U310-1 thread-0 [ run-0, test-103 ]: http://localhost:3000/out/goog/base.js -> 200 OK, 61790 bytes
2015-01-18 21:19:26,538 INFO  dajanka-U310-1 thread-0 [ run-0, test-104 ]: http://localhost:3000/script/zelenerecepty_app.js -> 200 OK, 1404 bytes
2015-01-18 21:19:26,552 INFO  dajanka-U310-1 thread-0 [ run-0, test-105 ]: http://localhost:3000/images/facebook-link.png -> 200 OK, 723 bytes
2015-01-18 21:19:26,565 INFO  dajanka-U310-1 thread-0 [ run-0, test-106 ]: http://localhost:3000/images/sk-logo-mini.png -> 200 OK, 7786 bytes
2015-01-18 21:19:26,565 INFO  dajanka-U310-1 thread-0 [ run-0 ]: sleeping for 45 ms
2015-01-18 21:19:26,636 INFO  dajanka-U310-1 thread-0 [ run-0, test-107 ]: http://localhost:3000/images/thumbnails/guacamole.jpg -> 200 OK, 32946 bytes
2015-01-18 21:19:26,656 INFO  dajanka-U310-1 thread-0 [ run-0, test-108 ]: http://localhost:3000/images/thumbnails/brokolicovy-salat.jpg -> 200 OK, 29428 bytes
2015-01-18 21:19:26,665 INFO  dajanka-U310-1 thread-0 [ run-0, test-109 ]: http://localhost:3000/images/thumbnails/sunflower-bread.jpg -> 200 OK, 23985 bytes
2015-01-18 21:19:26,681 INFO  dajanka-U310-1 thread-0 [ run-0, test-110 ]: http://localhost:3000/images/thumbnails/choco-mint.jpg -> 200 OK, 15732 bytes
2015-01-18 21:19:26,681 INFO  dajanka-U310-1 thread-0 [ run-0 ]: sleeping for 20 ms
2015-01-18 21:19:26,704 INFO  dajanka-U310-1 thread-0 [ run-0, test-111 ]: http://localhost:3000/images/thumbnails/horcica.jpg -> 304 Not Modified, 0 bytes
2015-01-18 21:19:26,707 INFO  dajanka-U310-1 thread-0 [ run-0, test-112 ]: http://localhost:3000/images/thumbnails/pizza.jpg -> 200 OK, 38453 bytes
2015-01-18 21:19:26,719 INFO  dajanka-U310-1 thread-0 [ run-0, test-113 ]: http://localhost:3000/out/goog/deps.js -> 200 OK, 8528 bytes
2015-01-18 21:19:26,719 INFO  dajanka-U310-1 thread-0 [ run-0 ]: sleeping for 67 ms
2015-01-18 21:19:26,791 INFO  dajanka-U310-1 thread-0 [ run-0, test-114 ]: http://localhost:3000/images/thumbnails/carob-cookies.jpg -> 200 OK, 31909 bytes
2015-01-18 21:19:26,821 INFO  dajanka-U310-1 thread-0 [ run-0, test-115 ]: http://localhost:3000/images/thumbnails/basic-cashew-cheese.jpg -> 200 OK, 27620 bytes
