2015-01-18 21:19:27,045 INFO  dajanka-U310-0 thread-0 [ run-0, test-127 ]: http://localhost:3000/out/goog/dom/browserfeature.js -> 200 OK, 2415 bytes
2015-01-18 21:19:27,045 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 12 ms
2015-01-18 21:19:27,061 INFO  dajanka-U310-0 thread-0 [ run-0, test-128 ]: http://localhost:3000/out/goog/dom/tagname.js -> 200 OK, 3230 bytes
2015-01-18 21:19:27,065 INFO  dajanka-U310-0 thread-0 [ run-0, test-129 ]: http://localhost:3000/out/goog/functions/functions.js -> 200 OK, 8863 bytes
2015-01-18 21:19:27,067 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 18 ms
2015-01-18 21:19:27,091 INFO  dajanka-U310-0 thread-0 [ run-0, test-130 ]: http://localhost:3000/out/goog/math/math.js -> 200 OK, 14311 bytes
2015-01-18 21:19:27,097 INFO  dajanka-U310-0 thread-0 [ run-0, test-131 ]: http://localhost:3000/out/goog/math/coordinate.js -> 200 OK, 7894 bytes
2015-01-18 21:19:27,102 INFO  dajanka-U310-0 thread-0 [ run-0, test-132 ]: http://localhost:3000/out/goog/math/size.js -> 200 OK, 5295 bytes
2015-01-18 21:19:27,106 INFO  dajanka-U310-0 thread-0 [ run-0, test-133 ]: http://localhost:3000/out/goog/object/object.js -> 200 OK, 18421 bytes
2015-01-18 21:19:27,106 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 16 ms
2015-01-18 21:19:27,126 INFO  dajanka-U310-0 thread-0 [ run-0, test-134 ]: http://localhost:3000/out/goog/dom/dom.js -> 200 OK, 97336 bytes
2015-01-18 21:19:27,153 INFO  dajanka-U310-0 thread-0 [ run-0, test-135 ]: http://localhost:3000/out/cljs/core.js -> 200 OK, 808183 bytes
2015-01-18 21:19:27,156 INFO  dajanka-U310-0 thread-0 [ run-0, test-136 ]: http://localhost:3000/out/goog/string/stringbuffer.js -> 200 OK, 2692 bytes
2015-01-18 21:19:27,157 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 12 ms
2015-01-18 21:19:27,176 INFO  dajanka-U310-0 thread-0 [ run-0, test-137 ]: http://localhost:3000/out/goog/iter/iter.js -> 200 OK, 44400 bytes
2015-01-18 21:19:27,181 INFO  dajanka-U310-0 thread-0 [ run-0, test-138 ]: http://localhost:3000/out/goog/structs/map.js -> 200 OK, 12837 bytes
2015-01-18 21:19:27,182 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 36 ms
2015-01-18 21:19:27,224 INFO  dajanka-U310-0 thread-0 [ run-0, test-139 ]: http://localhost:3000/out/goog/dom/forms.js -> 200 OK, 11811 bytes
2015-01-18 21:19:27,225 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 21 ms
2015-01-18 21:19:27,251 INFO  dajanka-U310-0 thread-0 [ run-0, test-140 ]: http://localhost:3000/out/goog/dom/classes.js -> 200 OK, 8403 bytes
2015-01-18 21:19:27,256 INFO  dajanka-U310-0 thread-0 [ run-0, test-141 ]: http://localhost:3000/out/goog/debug/entrypointregistry.js -> 200 OK, 5492 bytes
2015-01-18 21:19:27,260 INFO  dajanka-U310-0 thread-0 [ run-0, test-142 ]: http://localhost:3000/out/goog/events/browserfeature.js -> 200 OK, 2799 bytes
2015-01-18 21:19:27,263 INFO  dajanka-U310-0 thread-0 [ run-0, test-143 ]: http://localhost:3000/out/goog/disposable/idisposable.js -> 200 OK, 1445 bytes
2015-01-18 21:19:27,264 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 18 ms
2015-01-18 21:19:27,285 INFO  dajanka-U310-0 thread-0 [ run-0, test-144 ]: http://localhost:3000/out/goog/disposable/disposable.js -> 200 OK, 9007 bytes
2015-01-18 21:19:27,290 INFO  dajanka-U310-0 thread-0 [ run-0, test-145 ]: http://localhost:3000/out/goog/events/eventid.js -> 200 OK, 1348 bytes
2015-01-18 21:19:27,294 INFO  dajanka-U310-0 thread-0 [ run-0, test-146 ]: http://localhost:3000/out/goog/events/event.js -> 200 OK, 4625 bytes
2015-01-18 21:19:27,297 INFO  dajanka-U310-0 thread-0 [ run-0, test-147 ]: http://localhost:3000/out/goog/events/eventtype.js -> 200 OK, 6937 bytes
2015-01-18 21:19:27,299 INFO  dajanka-U310-0 thread-0 [ run-0, test-148 ]: http://localhost:3000/out/goog/reflect/reflect.js -> 200 OK, 2202 bytes
2015-01-18 21:19:27,301 INFO  dajanka-U310-0 thread-0 [ run-0, test-149 ]: http://localhost:3000/out/goog/events/browserevent.js -> 200 OK, 11335 bytes
2015-01-18 21:19:27,302 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 26 ms
2015-01-18 21:19:27,330 INFO  dajanka-U310-0 thread-0 [ run-0, test-150 ]: http://localhost:3000/out/goog/events/listenable.js -> 200 OK, 10789 bytes
2015-01-18 21:19:27,334 INFO  dajanka-U310-0 thread-0 [ run-0, test-151 ]: http://localhost:3000/out/goog/events/listener.js -> 200 OK, 3547 bytes
2015-01-18 21:19:27,338 INFO  dajanka-U310-0 thread-0 [ run-0, test-152 ]: http://localhost:3000/out/goog/events/listenermap.js -> 200 OK, 9725 bytes
2015-01-18 21:19:27,343 INFO  dajanka-U310-0 thread-0 [ run-0, test-153 ]: http://localhost:3000/out/goog/events/events.js -> 200 OK, 33596 bytes
2015-01-18 21:19:27,345 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 22 ms
2015-01-18 21:19:27,382 INFO  dajanka-U310-0 thread-0 [ run-0, test-154 ]: http://localhost:3000/out/domina/support.js -> 200 OK, 764 bytes
2015-01-18 21:19:27,385 INFO  dajanka-U310-0 thread-0 [ run-0, test-155 ]: http://localhost:3000/out/goog/dom/vendor.js -> 200 OK, 2767 bytes
2015-01-18 21:19:27,386 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 25 ms
2015-01-18 21:19:27,414 INFO  dajanka-U310-0 thread-0 [ run-0, test-156 ]: http://localhost:3000/out/goog/math/box.js -> 200 OK, 10890 bytes
2015-01-18 21:19:27,421 INFO  dajanka-U310-0 thread-0 [ run-0, test-157 ]: http://localhost:3000/out/goog/math/rect.js -> 200 OK, 13882 bytes
2015-01-18 21:19:27,424 INFO  dajanka-U310-0 thread-0 [ run-0, test-158 ]: http://localhost:3000/out/goog/style/style.js -> 200 OK, 77561 bytes
2015-01-18 21:19:27,425 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 34 ms
