2015-01-18 21:11:28,247 INFO  dajanka-U310-2 : The Grinder version 3.11
2015-01-18 21:11:28,253 INFO  dajanka-U310-2 : Java(TM) SE Runtime Environment 1.7.0_72-b14: Java HotSpot(TM) 64-Bit Server VM (24.72-b04, mixed mode) on Linux amd64 3.13.0-39-generic
2015-01-18 21:11:28,257 INFO  dajanka-U310-2 : time zone is CET (+0100)
2015-01-18 21:11:28,464 INFO  dajanka-U310-2 : worker process 2 of agent number 0
2015-01-18 21:11:28,580 INFO  dajanka-U310-2 : instrumentation agents: byte code transforming instrumenter for Jython 2.5; byte code transforming instrumenter for Java
2015-01-18 21:11:30,854 INFO  dajanka-U310-2 : registered plug-in net.grinder.plugin.http.HTTPPlugin
2015-01-18 21:11:32,147 INFO  dajanka-U310-2 : running "grinder.clj" using Clojure 1.4.0
2015-01-18 21:11:32,165 INFO  dajanka-U310-2 thread-0: starting, will do 30 runs
2015-01-18 21:11:32,166 INFO  dajanka-U310-2 : start time is 1421611892166 ms since Epoch
2015-01-18 21:11:47,382 INFO  dajanka-U310-2 thread-0 [ run-0, test-101 ]: http://green-recipes.com/ -> 200 OK, 7239 bytes
2015-01-18 21:11:47,394 INFO  dajanka-U310-2 thread-0 [ run-0 ]: sleeping for 160 ms
2015-01-18 21:11:47,725 INFO  dajanka-U310-2 thread-0 [ run-0, test-102 ]: http://green-recipes.com/style.css -> 200 OK, 26408 bytes
2015-01-18 21:11:47,912 INFO  dajanka-U310-2 thread-0 [ run-0, test-103 ]: http://green-recipes.com/out/goog/base.js -> 200 OK, 61790 bytes
2015-01-18 21:11:47,978 INFO  dajanka-U310-2 thread-0 [ run-0, test-104 ]: http://green-recipes.com/script/zelenerecepty_app.js -> 200 OK, 1404 bytes
2015-01-18 21:11:47,984 INFO  dajanka-U310-2 : received a start message
2015-01-18 21:11:48,040 INFO  dajanka-U310-2 thread-0 [ run-0, test-105 ]: http://green-recipes.com/images/facebook-link.png -> 200 OK, 723 bytes
2015-01-18 21:11:48,116 INFO  dajanka-U310-2 thread-0 [ run-0, test-106 ]: http://green-recipes.com/images/sk-logo-mini.png -> 200 OK, 7786 bytes
2015-01-18 21:11:48,117 INFO  dajanka-U310-2 thread-0 [ run-0 ]: sleeping for 43 ms
2015-01-18 21:11:48,308 INFO  dajanka-U310-2 thread-0 [ run-0, test-107 ]: http://green-recipes.com/images/thumbnails/guacamole.jpg -> 200 OK, 32946 bytes
2015-01-18 21:11:48,439 INFO  dajanka-U310-2 thread-0 [ run-0, test-108 ]: http://green-recipes.com/images/thumbnails/brokolicovy-salat.jpg -> 200 OK, 29428 bytes
2015-01-18 21:11:48,531 INFO  dajanka-U310-2 thread-0 [ run-0, test-109 ]: http://green-recipes.com/images/thumbnails/sunflower-bread.jpg -> 200 OK, 23985 bytes
2015-01-18 21:11:48,615 INFO  dajanka-U310-2 thread-0 [ run-0, test-110 ]: http://green-recipes.com/images/thumbnails/choco-mint.jpg -> 200 OK, 15732 bytes
2015-01-18 21:11:48,616 INFO  dajanka-U310-2 thread-0 [ run-0 ]: sleeping for 20 ms
2015-01-18 21:11:48,699 INFO  dajanka-U310-2 thread-0 [ run-0, test-111 ]: http://green-recipes.com/images/thumbnails/horcica.jpg -> 304 Not Modified, 0 bytes
2015-01-18 21:11:48,822 INFO  dajanka-U310-2 thread-0 [ run-0, test-112 ]: http://green-recipes.com/images/thumbnails/pizza.jpg -> 200 OK, 38453 bytes
2015-01-18 21:11:48,894 INFO  dajanka-U310-2 thread-0 [ run-0, test-113 ]: http://green-recipes.com/out/goog/deps.js -> 200 OK, 8528 bytes
2015-01-18 21:11:48,895 INFO  dajanka-U310-2 thread-0 [ run-0 ]: sleeping for 70 ms
2015-01-18 21:11:49,071 INFO  dajanka-U310-2 thread-0 [ run-0, test-114 ]: http://green-recipes.com/images/thumbnails/carob-cookies.jpg -> 200 OK, 31909 bytes
2015-01-18 21:11:49,176 INFO  dajanka-U310-2 thread-0 [ run-0, test-115 ]: http://green-recipes.com/images/thumbnails/basic-cashew-cheese.jpg -> 200 OK, 27620 bytes
